council,suburb,Adults - Obesity - ASR,Adults - Overweight/Obese - ASR,IGNORE,postcode,state,lng,lat,Individuals 2003-04,Median taxable income 2003-04,Average taxable income 2003-04,Individuals 2013-14,Median taxable income 2013-14,Average taxable income 2013-14,Individuals 2014-15,Median taxable income 2014-15,Average taxable income 2014-15,Individuals 2015-16,Median taxable income 2015-16,Average taxable income 2015-16,Individuals 2016-17,Median taxable income 2016-17,Average taxable income 2016-17,Individuals 2017-18,Median taxable income 2017-18,Average taxable income 2017-18,Individuals 2018-19,Median taxable income 2018-19,Average taxable income 2018-19,Individuals 2019-20,Median taxable income 2019-20,Average taxable income 2019-20,Individuals 2020-21,Median taxable income 2020-21,Average taxable income 2020-21,Individuals 2021-22,Median taxable income 2021-22,Average taxable income 2021-22,KFC Count,McDonald's Count,Hungry Jack's Count,council_y,sa4name,sed_name,Total Fast Food Count
Northern Grampians,ARCHDALE,33.5,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Grampians,ARCHDALE JUNCTION,33.5,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Grampians,BEALIBA,33.5,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Grampians,BURKES FLAT,33.5,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Grampians,COCHRANES CREEK,33.5,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Grampians,EMU,33.5,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Grampians,LOGAN,33.5,68.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loddon,AVON PLAINS,34.8,70.3,1495.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Loddon,BEAZLEYS BRIDGE,34.8,70.3,1496.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Loddon,CARAPOOEE,34.8,70.3,1498.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Loddon,CARAPOOEE WEST,34.8,70.3,1499.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Loddon,COONOOER BRIDGE,34.8,70.3,1500.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Loddon,COONOOER WEST,34.8,70.3,1501.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Loddon,DALYENONG,34.8,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loddon,GOOROC,34.8,70.3,1505.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Loddon,GOWAR EAST,34.8,70.3,1506.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Loddon,GRAYS BRIDGE,34.8,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loddon,GRE GRE,34.8,70.3,1507.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Loddon,GRE GRE NORTH,34.8,70.3,1508.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Loddon,GRE GRE SOUTH,34.8,70.3,1509.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Loddon,KOOREH,34.8,70.3,1510.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Loddon,MARNOO EAST,34.8,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loddon,MOOLERR,34.8,70.3,1513.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Loddon,REDBANK,34.8,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loddon,SLATY CREEK,34.8,70.3,1516.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Loddon,ST ARNAUD EAST,34.8,70.3,1518.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Loddon,ST ARNAUD NORTH,34.8,70.3,1519.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Loddon,STUART MILL,34.8,70.3,1520.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Loddon,SUTHERLAND,34.8,70.3,1521.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Loddon,SWANWATER,34.8,70.3,1522.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Loddon,TOTTINGTON,34.8,70.3,1524.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Loddon,TRAYNORS LAGOON,34.8,70.3,1525.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Loddon,YORK PLAINS,34.8,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buloke,BERRIMAL WEST,32.4,68.1,1497.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Buloke,DARKBONEE,32.4,68.1,1502.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Buloke,DOOBOOBETIC,32.4,68.1,1503.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Buloke,ELBERTON,32.4,68.1,1504.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Buloke,MEDLYN,32.4,68.1,1511.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Buloke,MITCHELLS HILL,32.4,68.1,1512.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Buloke,MOONAMBEL,32.4,68.1,1514.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Buloke,PERCYDALE,32.4,68.1,1515.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Buloke,ST ARNAUD,32.4,68.1,1517.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Buloke,TANWOOD,32.4,68.1,1523.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Buloke,WARRENMANG,32.4,68.1,1527.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Buloke,YAWONG HILLS,32.4,68.1,1528.0,3478.0,VIC,143.230699,-36.688551,"2,030","22,344","24,785","1,439","32,857","37,791","1,383","33,583","38,995","1,359","34,029","38,706","1,324","34,417","39,584","1,342","36,596","41,970","1,324","37,597","43,716","1,358","38,617","45,169","1,356","41,703","47,858","1,339","42,846","50,819",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Yarriambiack,AREEGRA,33.0,69.7,1529.0,3480.0,VIC,142.968057,-36.31227,"1,211","20,010","22,341","1,066","32,452","39,882","1,023","31,130","36,974",986,"30,968","36,813","1,026","32,560","39,315","1,019","32,329","39,539","1,034","34,426","41,192","1,062","37,775","44,506","1,070","38,421","47,690","1,067","41,028","50,015",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Yarriambiack,BANYENONG,33.0,69.7,1530.0,3480.0,VIC,142.968057,-36.31227,"1,211","20,010","22,341","1,066","32,452","39,882","1,023","31,130","36,974",986,"30,968","36,813","1,026","32,560","39,315","1,019","32,329","39,539","1,034","34,426","41,192","1,062","37,775","44,506","1,070","38,421","47,690","1,067","41,028","50,015",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Yarriambiack,CARRON,33.0,69.7,1532.0,3480.0,VIC,142.968057,-36.31227,"1,211","20,010","22,341","1,066","32,452","39,882","1,023","31,130","36,974",986,"30,968","36,813","1,026","32,560","39,315","1,019","32,329","39,539","1,034","34,426","41,192","1,062","37,775","44,506","1,070","38,421","47,690","1,067","41,028","50,015",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Yarriambiack,COPE COPE,33.0,69.7,1533.0,3480.0,VIC,142.968057,-36.31227,"1,211","20,010","22,341","1,066","32,452","39,882","1,023","31,130","36,974",986,"30,968","36,813","1,026","32,560","39,315","1,019","32,329","39,539","1,034","34,426","41,192","1,062","37,775","44,506","1,070","38,421","47,690","1,067","41,028","50,015",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Yarriambiack,CORACK,33.0,69.7,1534.0,3480.0,VIC,142.968057,-36.31227,"1,211","20,010","22,341","1,066","32,452","39,882","1,023","31,130","36,974",986,"30,968","36,813","1,026","32,560","39,315","1,019","32,329","39,539","1,034","34,426","41,192","1,062","37,775","44,506","1,070","38,421","47,690","1,067","41,028","50,015",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Yarriambiack,CORACK EAST,33.0,69.7,1535.0,3480.0,VIC,142.968057,-36.31227,"1,211","20,010","22,341","1,066","32,452","39,882","1,023","31,130","36,974",986,"30,968","36,813","1,026","32,560","39,315","1,019","32,329","39,539","1,034","34,426","41,192","1,062","37,775","44,506","1,070","38,421","47,690","1,067","41,028","50,015",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Yarriambiack,DONALD,33.0,69.7,1536.0,3480.0,VIC,142.968057,-36.31227,"1,211","20,010","22,341","1,066","32,452","39,882","1,023","31,130","36,974",986,"30,968","36,813","1,026","32,560","39,315","1,019","32,329","39,539","1,034","34,426","41,192","1,062","37,775","44,506","1,070","38,421","47,690","1,067","41,028","50,015",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Yarriambiack,GIL GIL,33.0,69.7,1537.0,3480.0,VIC,143.0409276,-36.32166578,"1,211","20,010","22,341","1,066","32,452","39,882","1,023","31,130","36,974",986,"30,968","36,813","1,026","32,560","39,315","1,019","32,329","39,539","1,034","34,426","41,192","1,062","37,775","44,506","1,070","38,421","47,690","1,067","41,028","50,015",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Yarriambiack,JEFFCOTT,33.0,69.7,1538.0,3480.0,VIC,143.1383586,-36.31902453,"1,211","20,010","22,341","1,066","32,452","39,882","1,023","31,130","36,974",986,"30,968","36,813","1,026","32,560","39,315","1,019","32,329","39,539","1,034","34,426","41,192","1,062","37,775","44,506","1,070","38,421","47,690","1,067","41,028","50,015",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Yarriambiack,JEFFCOTT NORTH,33.0,69.7,1539.0,3480.0,VIC,143.0680468,-36.26284609,"1,211","20,010","22,341","1,066","32,452","39,882","1,023","31,130","36,974",986,"30,968","36,813","1,026","32,560","39,315","1,019","32,329","39,539","1,034","34,426","41,192","1,062","37,775","44,506","1,070","38,421","47,690","1,067","41,028","50,015",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Yarriambiack,LAEN,33.0,69.7,1540.0,3480.0,VIC,142.968057,-36.31227,"1,211","20,010","22,341","1,066","32,452","39,882","1,023","31,130","36,974",986,"30,968","36,813","1,026","32,560","39,315","1,019","32,329","39,539","1,034","34,426","41,192","1,062","37,775","44,506","1,070","38,421","47,690","1,067","41,028","50,015",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Yarriambiack,LAEN EAST,33.0,69.7,1541.0,3480.0,VIC,142.968057,-36.31227,"1,211","20,010","22,341","1,066","32,452","39,882","1,023","31,130","36,974",986,"30,968","36,813","1,026","32,560","39,315","1,019","32,329","39,539","1,034","34,426","41,192","1,062","37,775","44,506","1,070","38,421","47,690","1,067","41,028","50,015",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Yarriambiack,LAEN NORTH,33.0,69.7,1542.0,3480.0,VIC,142.968057,-36.31227,"1,211","20,010","22,341","1,066","32,452","39,882","1,023","31,130","36,974",986,"30,968","36,813","1,026","32,560","39,315","1,019","32,329","39,539","1,034","34,426","41,192","1,062","37,775","44,506","1,070","38,421","47,690","1,067","41,028","50,015",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Yarriambiack,LAKE BULOKE,33.0,69.7,1543.0,3480.0,VIC,142.968057,-36.31227,"1,211","20,010","22,341","1,066","32,452","39,882","1,023","31,130","36,974",986,"30,968","36,813","1,026","32,560","39,315","1,019","32,329","39,539","1,034","34,426","41,192","1,062","37,775","44,506","1,070","38,421","47,690","1,067","41,028","50,015",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Yarriambiack,LAWLER,33.0,69.7,1544.0,3480.0,VIC,142.968057,-36.31227,"1,211","20,010","22,341","1,066","32,452","39,882","1,023","31,130","36,974",986,"30,968","36,813","1,026","32,560","39,315","1,019","32,329","39,539","1,034","34,426","41,192","1,062","37,775","44,506","1,070","38,421","47,690","1,067","41,028","50,015",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Yarriambiack,LITCHFIELD,33.0,69.7,1545.0,3480.0,VIC,142.968057,-36.31227,"1,211","20,010","22,341","1,066","32,452","39,882","1,023","31,130","36,974",986,"30,968","36,813","1,026","32,560","39,315","1,019","32,329","39,539","1,034","34,426","41,192","1,062","37,775","44,506","1,070","38,421","47,690","1,067","41,028","50,015",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Yarriambiack,RICH AVON,33.0,69.7,1546.0,3480.0,VIC,142.968057,-36.31227,"1,211","20,010","22,341","1,066","32,452","39,882","1,023","31,130","36,974",986,"30,968","36,813","1,026","32,560","39,315","1,019","32,329","39,539","1,034","34,426","41,192","1,062","37,775","44,506","1,070","38,421","47,690","1,067","41,028","50,015",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Yarriambiack,RICH AVON EAST,33.0,69.7,1547.0,3480.0,VIC,142.968057,-36.31227,"1,211","20,010","22,341","1,066","32,452","39,882","1,023","31,130","36,974",986,"30,968","36,813","1,026","32,560","39,315","1,019","32,329","39,539","1,034","34,426","41,192","1,062","37,775","44,506","1,070","38,421","47,690","1,067","41,028","50,015",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Yarriambiack,RICH AVON WEST,33.0,69.7,1548.0,3480.0,VIC,142.968057,-36.31227,"1,211","20,010","22,341","1,066","32,452","39,882","1,023","31,130","36,974",986,"30,968","36,813","1,026","32,560","39,315","1,019","32,329","39,539","1,034","34,426","41,192","1,062","37,775","44,506","1,070","38,421","47,690","1,067","41,028","50,015",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Yarriambiack,SWANWATER WEST,33.0,69.7,1549.0,3480.0,VIC,142.968057,-36.31227,"1,211","20,010","22,341","1,066","32,452","39,882","1,023","31,130","36,974",986,"30,968","36,813","1,026","32,560","39,315","1,019","32,329","39,539","1,034","34,426","41,192","1,062","37,775","44,506","1,070","38,421","47,690","1,067","41,028","50,015",0.0,0.0,0.0,Murray River - Swan Hill,North West,Ripon (Western Victoria),0.0
Yarriambiack,MASSEY,33.0,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yarriambiack,MORTON PLAINS,33.0,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yarriambiack,WARMUR,33.0,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yarriambiack,WATCHEM,33.0,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yarriambiack,WATCHEM WEST,33.0,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buloke,BALLAPUR,32.4,68.1,1550.0,3483.0,VIC,142.890804,-35.901765,608,"23,434","27,923",556,"33,712","39,101",539,"27,374","33,923",534,"28,390","35,787",546,"35,099","43,147",537,"40,183","47,708",537,"39,503","43,817",559,"42,549","50,426",568,"46,335","53,063",564,"49,188","60,522",0.0,0.0,0.0,Murray River - Swan Hill,North West,Mildura (Northern Victoria),0.0
Buloke,BIRCHIP,32.4,68.1,1551.0,3483.0,VIC,142.890804,-35.901765,608,"23,434","27,923",556,"33,712","39,101",539,"27,374","33,923",534,"28,390","35,787",546,"35,099","43,147",537,"40,183","47,708",537,"39,503","43,817",559,"42,549","50,426",568,"46,335","53,063",564,"49,188","60,522",0.0,0.0,0.0,Murray River - Swan Hill,North West,Mildura (Northern Victoria),0.0
Buloke,BIRCHIP WEST,32.4,68.1,1552.0,3483.0,VIC,142.890804,-35.901765,608,"23,434","27,923",556,"33,712","39,101",539,"27,374","33,923",534,"28,390","35,787",546,"35,099","43,147",537,"40,183","47,708",537,"39,503","43,817",559,"42,549","50,426",568,"46,335","53,063",564,"49,188","60,522",0.0,0.0,0.0,Murray River - Swan Hill,North West,Mildura (Northern Victoria),0.0
Buloke,CURYO,32.4,68.1,1553.0,3483.0,VIC,142.890804,-35.901765,608,"23,434","27,923",556,"33,712","39,101",539,"27,374","33,923",534,"28,390","35,787",546,"35,099","43,147",537,"40,183","47,708",537,"39,503","43,817",559,"42,549","50,426",568,"46,335","53,063",564,"49,188","60,522",0.0,0.0,0.0,Murray River - Swan Hill,North West,Mildura (Northern Victoria),0.0
Buloke,JIL JIL,32.4,68.1,1554.0,3483.0,VIC,142.890804,-35.901765,608,"23,434","27,923",556,"33,712","39,101",539,"27,374","33,923",534,"28,390","35,787",546,"35,099","43,147",537,"40,183","47,708",537,"39,503","43,817",559,"42,549","50,426",568,"46,335","53,063",564,"49,188","60,522",0.0,0.0,0.0,Murray River - Swan Hill,North West,Mildura (Northern Victoria),0.0
Buloke,KARYRIE,32.4,68.1,1555.0,3483.0,VIC,142.890804,-35.901765,608,"23,434","27,923",556,"33,712","39,101",539,"27,374","33,923",534,"28,390","35,787",546,"35,099","43,147",537,"40,183","47,708",537,"39,503","43,817",559,"42,549","50,426",568,"46,335","53,063",564,"49,188","60,522",0.0,0.0,0.0,Murray River - Swan Hill,North West,Mildura (Northern Victoria),0.0
