council,suburb,Adults - Obesity Rate
Port Phillip,WINDSOR,17.4
Port Phillip,ST KILDA,17.4
Port Phillip,ST KILDA SOUTH,17.4
Port Phillip,ST KILDA WEST,17.4
Glen Eira,BALACLAVA,18.6
Glen Eira,ST KILDA EAST,18.6
Port Phillip,BRIGHTON ROAD,17.4
Port Phillip,ELWOOD,17.4
Port Phillip,ELSTERNWICK,17.4
Port Phillip,GARDENVALE,17.4
Port Phillip,RIPPONLEA,17.4
Bayside,BRIGHTON,17.7
Bayside,BRIGHTON NORTH,17.7
Bayside,DENDY,17.7
Bayside,WERE STREET PO,17.7
Glen Eira,BRIGHTON EAST,18.6
Glen Eira,NORTH ROAD,18.6
Bayside,HAMPTON,17.7
Bayside,HAMPTON EAST,17.7
Bayside,HAMPTON NORTH,17.7
Kingston,MOORABBIN,24.8
Kingston,MOORABBIN EAST,24.8
Kingston,WISHART,24.8
Kingston,HIGHETT,24.8
Bayside,SANDRINGHAM,17.7
Bayside,CHELTENHAM,17.7
Bayside,CHELTENHAM EAST,17.7
Bayside,CHELTENHAM NORTH,17.7
Bayside,SOUTHLAND CENTRE,17.7
Bayside,BEAUMARIS,17.7
Bayside,BLACK ROCK,17.7
Bayside,BLACK ROCK NORTH,17.7
Bayside,CROMER,17.7
Kingston,MENTONE,24.8
Kingston,MENTONE EAST,24.8
Kingston,MOORABBIN AIRPORT,24.8
Kingston,ASPENDALE,24.8
Kingston,ASPENDALE GARDENS,24.8
Kingston,BRAESIDE,24.8
Kingston,MORDIALLOC,24.8
Kingston,MORDIALLOC NORTH,24.8
Kingston,PARKDALE,24.8
Kingston,WATERWAYS,24.8
Kingston,BONBEACH,24.8
Kingston,CHELSEA,24.8
Kingston,CHELSEA HEIGHTS,24.8
Kingston,EDITHVALE,24.8
Kingston,CARRUM,24.8
Kingston,PATTERSON LAKES,24.8
Frankston,BELVEDERE PARK,30.8
Frankston,SEAFORD,30.8
Frankston,FRANKSTON,30.8
Frankston,FRANKSTON EAST,30.8
Frankston,FRANKSTON HEIGHTS,30.8
Frankston,FRANKSTON SOUTH,30.8
Frankston,KARINGAL,30.8
Frankston,KARINGAL CENTRE,30.8
Frankston,FRANKSTON NORTH,30.8
Frankston,PINES FOREST,30.8
Frankston,CARRUM DOWNS,30.8
Kingston,HEATHERTON,24.8
Glen Eira,BENTLEIGH,18.6
Glen Eira,MCKINNON,18.6
Glen Eira,ORMOND,18.6
Glen Eira,PATTERSON,18.6
Port Phillip,SOUTH MELBOURNE,17.4
Port Phillip,SOUTH MELBOURNE DC,17.4
Port Phillip,ALBERT PARK,17.4
Port Phillip,MIDDLE PARK,17.4
Melbourne,GARDEN CITY,15.3
Melbourne,PORT MELBOURNE,15.3
Greater Geelong,LITTLE RIVER,29.2
Greater Geelong,AVALON,29.2
Greater Geelong,LARA,29.2
