council,suburb,Adults - Obesity - ASR,Adults - Overweight/Obese - ASR
Port Phillip,ELWOOD,17.4,54.4
Port Phillip,ELSTERNWICK,17.4,54.4
Port Phillip,GARDENVALE,17.4,54.4
Port Phillip,RIPPONLEA,17.4,54.4
Bayside,BRIGHTON,17.7,56.0
Bayside,BRIGHTON NORTH,17.7,56.0
Bayside,DENDY,17.7,56.0
Bayside,WERE STREET PO,17.7,56.0
Glen Eira,BRIGHTON EAST,18.6,56.9
Glen Eira,NORTH ROAD,18.6,56.9
Bayside,HAMPTON,17.7,56.0
Bayside,HAMPTON EAST,17.7,56.0
Bayside,HAMPTON NORTH,17.7,56.0
Kingston,MOORABBIN,24.8,63.3
Kingston,MOORABBIN EAST,24.8,63.3
Kingston,WISHART,24.8,63.3
Kingston,HIGHETT,24.8,63.3
Bayside,SANDRINGHAM,17.7,56.0
Bayside,CHELTENHAM,17.7,56.0
Bayside,CHELTENHAM EAST,17.7,56.0
Bayside,CHELTENHAM NORTH,17.7,56.0
Bayside,SOUTHLAND CENTRE,17.7,56.0
Bayside,BEAUMARIS,17.7,56.0
Bayside,BLACK ROCK,17.7,56.0
Bayside,BLACK ROCK NORTH,17.7,56.0
Bayside,CROMER,17.7,56.0
Kingston,MENTONE,24.8,63.3
Kingston,MENTONE EAST,24.8,63.3
Kingston,MOORABBIN AIRPORT,24.8,63.3
Kingston,ASPENDALE,24.8,63.3
Kingston,ASPENDALE GARDENS,24.8,63.3
Kingston,BRAESIDE,24.8,63.3
Kingston,MORDIALLOC,24.8,63.3
Kingston,MORDIALLOC NORTH,24.8,63.3
Kingston,PARKDALE,24.8,63.3
Kingston,WATERWAYS,24.8,63.3
Kingston,BONBEACH,24.8,63.3
Kingston,CHELSEA,24.8,63.3
Kingston,CHELSEA HEIGHTS,24.8,63.3
Kingston,EDITHVALE,24.8,63.3
Kingston,CARRUM,24.8,63.3
Kingston,PATTERSON LAKES,24.8,63.3
Frankston,BELVEDERE PARK,30.8,68.8
Frankston,SEAFORD,30.8,68.8
